number of people:1
point1.x,point1.y,  point3.x,point3.y,  point4.x,point4.y,  point5.x,point5.y,  point6.x,point6.y,  point8.x,point8.y,  point9.x,point9.y,  point10.x,point10.y,  point12.x,point12.y,  point13.x,point13.y,  point14.x,point14.y,  point16.x,point16.y,  point17.x,point17.y,  point18.x,point18.y,  point20.x,point20.y,  
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86,84,84,33,62,65,51,84,29,71,106,63,119,88,130,89,81,122,110,122,88,142,99,119,116,120,78,124,83,59,
173,166,168,62,124,130,93,160,62,153,213,127,239,176,270,178,164,236,243,256,280,292,200,231,249,255,263,277,166,118,
260,246,251,91,186,194,139,234,90,236,319,191,359,264,415,257,245,346,374,391,475,451,301,341,389,388,476,450,249,176,
260,246,251,92,190,194,142,234,90,249,319,192,360,264,431,257,246,346,394,415,575,496,303,341,408,396,581,477,250,176,
260,241,251,92,194,193,137,223,98,252,318,193,362,264,422,242,246,334,394,422,575,515,301,332,408,396,581,477,250,176,
259,238,254,92,199,191,135,223,98,254,317,194,362,260,421,210,241,329,387,422,556,518,300,329,403,388,569,475,250,176,
259,236,256,96,199,191,135,224,94,265,317,194,360,251,387,189,237,326,371,420,531,519,296,325,385,375,522,475,252,175,
262,235,260,99,194,197,135,236,108,271,318,193,349,244,331,187,234,326,367,414,520,496,294,323,373,369,498,445,257,175,
263,234,260,101,192,202,138,250,131,278,319,192,339,244,284,187,234,326,367,412,519,493,294,323,368,364,486,438,260,176,
264,234,260,103,188,207,140,261,142,281,319,192,338,244,260,211,235,328,365,412,521,493,294,323,368,364,486,432,261,176,
264,235,259,106,187,208,145,267,151,289,319,193,338,255,260,248,235,331,364,412,524,493,294,325,368,368,486,432,261,177,
261,237,255,106,188,209,148,274,151,289,318,196,348,264,271,271,233,332,363,411,524,488,294,327,368,368,493,430,258,179,
257,238,249,107,188,210,150,281,144,300,316,198,356,271,305,271,231,331,350,403,518,483,292,327,369,369,498,432,255,181,
255,239,245,107,186,210,151,283,137,308,316,198,360,271,345,271,228,331,338,395,513,476,291,327,372,371,525,442,253,181,
254,239,243,107,186,211,151,283,137,308,316,198,365,266,382,240,228,331,322,387,456,473,291,327,375,372,553,453,252,181,
254,239,242,107,186,211,150,286,137,309,316,197,371,260,404,205,228,330,308,380,401,473,291,325,378,373,581,467,251,181,
254,238,242,107,185,211,148,288,138,312,316,197,381,248,409,174,228,330,294,373,355,474,291,325,379,373,583,471,251,181,
254,238,243,106,185,212,147,290,140,315,316,197,385,235,409,151,228,330,294,373,355,480,291,324,379,374,583,475,251,181,
254,238,246,105,185,212,146,290,142,319,316,197,387,222,402,130,228,329,293,372,355,490,291,324,379,374,584,478,250,181,
253,238,249,104,185,211,145,289,142,319,317,196,387,214,385,122,227,329,290,372,330,503,291,324,379,375,591,485,250,181,
253,238,250,104,186,209,145,288,142,319,317,196,383,210,369,119,227,328,287,373,304,508,291,323,380,375,608,498,250,181,
253,238,250,104,187,206,145,287,142,320,317,196,373,210,344,119,227,328,287,376,304,508,290,323,381,375,639,498,250,181,
252,241,248,103,187,204,144,287,142,320,315,198,362,217,316,135,227,332,305,385,365,502,290,328,385,372,672,484,249,183,
252,243,245,102,187,204,144,287,142,321,314,200,352,232,287,157,227,335,324,393,459,498,289,332,388,370,698,483,248,183,
